property_id,title,price,address,details_link,image_url,property_type,bedroom_icon,no_of_bedrooms,bathroom_icon,no_of_bathrooms,span_count
149919500,3 bedroom semi-detached house for sale,"£550,000","Danes Road, Shootash, Romsey, Hampshire",https://www.rightmove.co.uk/properties/149919500#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/149919500/8764_ROM240285_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
135524423,4 bedroom detached house for sale,"£550,000","Cupernham Lane, Romsey, Hampshire",https://www.rightmove.co.uk/properties/135524423#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/135524423/8764_ROM220313_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
147866282,4 bedroom detached house for sale,"£550,000","Mount Temple, Romsey, Hampshire",https://www.rightmove.co.uk/properties/147866282#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/147866282/8764_ROM230561_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
147490538,3 bedroom detached house for sale,"£550,000","Treviglio Close, Romsey, Hampshire",https://www.rightmove.co.uk/properties/147490538#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/147490538/8764_ROM240208_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
150203825,4 bedroom semi-detached house for sale,"£540,000","Sequoia Lane, Braishfield, Romsey, Hampshire",https://www.rightmove.co.uk/properties/150203825#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/150203825/8764_ROM240391_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
149388947,4 bedroom detached house for sale,"£540,000","School Road, Romsey, Hampshire",https://www.rightmove.co.uk/properties/149388947#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/149388947/8764_ROM240340_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
141181541,3 bedroom detached house for sale,"£535,000","Sandy Lane, North Baddesley, Southampton, Hampshire",https://www.rightmove.co.uk/properties/141181541#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/141181541/8764_ROM230233_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
146627057,4 bedroom detached house for sale,"£525,000","Butlers Close, Lockerley, Romsey, Hampshire",https://www.rightmove.co.uk/properties/146627057#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/146627057/8764_ROM180127_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
150841898,3 bedroom semi-detached house for sale,"£525,000","Mill Lane, Nursling, Southampton, Hampshire",https://www.rightmove.co.uk/properties/150841898#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/150841898/8764_ROM240390_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
144828473,4 bedroom detached house for sale,"£525,000","Hunters Crescent, Totton, Southampton, Hampshire",https://www.rightmove.co.uk/properties/144828473#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/144828473/8764_ROM240113_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
147636257,3 bedroom detached house for sale,"£525,000","Treviglio Close, Romsey, Hampshire",https://www.rightmove.co.uk/properties/147636257#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/147636257/8764_ROM240246_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
145299719,4 bedroom detached house for sale,"£525,000","Ganger Farm Way, Ampfield, Romsey, Hampshire",https://www.rightmove.co.uk/properties/145299719#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/145299719/8764_ROM230148_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
150941000,3 bedroom detached house for sale,"£525,000","Canal Close, Romsey, Hampshire",https://www.rightmove.co.uk/properties/150941000#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/150941000/8764_ROM180493_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
145494260,3 bedroom semi-detached house for sale,"£525,000","East Dean, Salisbury, Hampshire",https://www.rightmove.co.uk/properties/145494260#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/145494260/8764_ROM230012_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
148490561,3 bedroom semi-detached house for sale,"£525,000","East Dean Road, Lockerley, Romsey, Hampshire",https://www.rightmove.co.uk/properties/148490561#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/148490561/8764_ROM240148_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
141914594,4 bedroom detached house for sale,"£520,000","Hedgerow Close, Rownhams, Southampton, Hampshire",https://www.rightmove.co.uk/properties/141914594#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/141914594/8764_ROM230509_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
144154316,4 bedroom detached house for sale,"£520,000","Hedgerow Close, Rownhams, Southampton, Hampshire",https://www.rightmove.co.uk/properties/144154316#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/144154316/8764_ROM220211_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
149890733,2 bedroom detached house for sale,"£375,000","Rownhams Lane, North Baddesley, Southampton, Hampshire",https://www.rightmove.co.uk/properties/149890733#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/149890733/8764_ROM240376_IMG_14_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
131246549,2 bedroom detached house for sale,"£500,000","Newton Lane, Romsey, Hampshire",https://www.rightmove.co.uk/properties/131246549#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/131246549/8764_ROM220504_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
86834244,4 bedroom detached house for sale,"£500,000","Bodding Avenue, Nursling, Southampton, Hampshire",https://www.rightmove.co.uk/properties/86834244#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/86834244/8764_ROM240202_IMG_00_0001_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
148341455,4 bedroom end of terrace house for sale,"£500,000","Sequoia Lane, Romsey, Hampshire",https://www.rightmove.co.uk/properties/148341455#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/148341455/8764_ROM240301_IMG_15_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
150129422,4 bedroom detached bungalow for sale,"£500,000","Salisbury Road, Shootash, Romsey, Hampshire",https://www.rightmove.co.uk/properties/150129422#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/150129422/8764_ROM240384_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
143708792,4 bedroom detached house for sale,"£500,000","Southampton Road, Cadnam, Southampton, Hampshire",https://www.rightmove.co.uk/properties/143708792#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/143708792/8764_ROM240003_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
150505058,3 bedroom terraced house for sale,"£500,000","Winchester Road, Romsey, Hampshire",https://www.rightmove.co.uk/properties/150505058#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/150505058/8764_ROM240368_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
148178057,5 bedroom semi-detached bungalow for sale,"£500,000","Rosslyn Close, North Baddesley, Southampton, Hampshire",https://www.rightmove.co.uk/properties/148178057#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/148178057/8764_ROM210525_IMG_01_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
144381038,3 bedroom end of terrace house for sale,"£500,000","Newton Lane, Romsey, Hampshire",https://www.rightmove.co.uk/properties/144381038#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/144381038/8764_ROM230079_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
145966322,3 bedroom detached bungalow for sale,"£500,000","Carisbrooke Court, Romsey, Hampshire",https://www.rightmove.co.uk/properties/145966322#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/145966322/8764_ROM230121_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
148479986,3 bedroom detached house for sale,"£500,000","Westbroke Gardens, Romsey, Hampshire",https://www.rightmove.co.uk/properties/148479986#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/148479986/8764_ROM240302_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
